mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	G.I{					G	I		I		I						{	M	0	0	1, 5, 2		1	1	8	17	0.32	0.25	2.9375	0.0784313725490196
3	3	0	0	3/4	2	1	V6					G	I		V6		V		6					M	0	0	6, 3, 2		2	6	0	4	0.0	0.0	0.5	0.0
3	3	1/4	1/4	3/4	2	1	V7					G	I		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	2	0.0	0.0	0.5	0.0
4	4	0	0	3/4	2	1	I					G	I		I		I							M	0	0	1, 5, 2		1	1	5	8	0.38461538461538464	0.21875	0.78125	0.21875
5	5	0	0	3/4	2	1	V6					G	I		V6		V		6					M	0	0	6, 3, 2		2	6	0	2	0.0	0.0	0.5	0.0
5	5	1/4	1/4	3/4	2	1	V7					G	I		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	2	0.0	0.0	0.5	0.0
6	6	0	0	3/4	2	1	I					G	I		I		I							M	0	0	1, 5, 2		1	1	2	8	0.2	0.125	0.875	0.125
7	7	0	0	3/4	2	1	IV					G	I		IV		IV							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
7	7	1/2	1/2	3/4	2	1	vii%7					G	I		vii%7		vii	%	7					%7	0	0	6, 3, 0, 4		6	6	0	4	0.0	0.0	0.25	0.0
8	8	0	0	3/4	2	1	iii					G	I		iii		iii							m	0	0	5, 2, 6		5	5	0	2	0.0	0.0	0.5	0.0
8	8	1/2	1/2	3/4	2	1	V7/ii					G	I		V7/ii		V		7		ii			Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.25	0.0
9	9	0	0	3/4	2	1	ii					G	I		ii		ii							m	0	0	3, 0, 4		3	3	0	4	0.0	0.0	0.25	0.0
9	9	1/4	1/4	3/4	2	1	V6					G	I		V6		V		6					M	0	0	6, 3, 2		2	6	0	2	0.0	0.0	0.5	0.0
9	9	1/2	1/2	3/4	2	1	I					G	I		I		I							M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	1.25	0.0
10	10	0	0	3/4	2	1	V(64)}					G	I		V(64)		V			64			}	M	0	0	2, 1, 5		2	2	0	4	0.0	0.0	1.5	0.0
10	10	1/4	1/4	3/4	2	1	V|HC					G	I		V		V					HC		M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
10	10	1/2	1/2	3/4	2	1	I6{					G	I		I6		I		6				{	M	0	0	5, 2, 1		1	5	0	8	0.0	0.0	0.25	0.0
11	11	0	0	3/4	2	1	IV					G	I		IV		IV							M	0	0	0, 4, 1		0	0	0	8	0.0	0.0	0.25	0.0
11	11	1/4	1/4	3/4	2	1	vii%7					G	I		vii%7		vii	%	7					%7	0	0	6, 3, 0, 4		6	6	0	16	0.0	0.0	0.5	0.0
12	12	0	0	3/4	2	1	iii					G	I		iii		iii							m	0	0	5, 2, 6		5	5	0	8	0.0	0.0	0.25	0.0
12	12	1/4	1/4	3/4	2	1	vi7					G	I		vi7		vi		7					mm7	0	0	4, 1, 5, 2		4	4	0	16	0.0	0.0	0.5	0.0
13	13	0	0	3/4	2	1	viio6					G	I		viio6		vii	o	6					o	0	0	3, 0, 6		6	3	0	8	0.0	0.0	0.25	0.0
13	13	1/4	1/4	3/4	2	1	V65					G	I		V65		V		65					Mm7	0	0	6, 3, 0, 2		2	6	0	8	0.0	0.0	0.25	0.0
13	13	1/2	1/2	3/4	2	1	I					G	I		I		I							M	0	0	1, 5, 2		1	1	0	8	0.0	0.0	0.25	0.0
14	14	0	0	3/4	2	1	V|HC}					G	I		V		V					HC	}	M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	1.25	0.0
