mc	mn	quarterbeats	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	0	7/8	2	2	d.i[i{	d	i	i	i		i						{	m	1	1	0, -3, 1		0	0
1	1	2	1/2	1/2	7/8	2	2	#viio6	d	i	i	#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
1	1	4	1	1	7/8	2	2	V2(b9)	d	i	i	V2(b9)		V		2	b9				Mm7	1	1	-1, 1, 5, 2	-11	1	-1
1	1	6	3/2	3/2	7/8	2	2	i]	d	i	i	i		i							m	1	1	0, -3, 1		0	0
1	1	8	2	2	7/8	2	2	V2/iv	d	i		V2/iv		V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
1	1	10	5/2	5/2	7/8	2	2	V2/VII	d	i		V2/VII		V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
1	1	12	3	3	7/8	2	2	V7/V	d	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
1	1	14	7/2	7/2	7/8	2	2	i6	d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
1	1	16	4	4	7/8	2	2	V65/V	d	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
1	1	18	9/2	9/2	7/8	2	2	V2	d	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
1	1	20	5	5	7/8	2	2	i65	d	i		i65		i		65					mm7	1	1	-3, 1, -2, 0		0	-3
1	1	22	11/2	11/2	7/8	2	2	iv6	d	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
1	1	24	6	6	7/8	2	2	Ger6	d	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
1	1	26	13/2	13/2	7/8	2	2	#viio6	d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
1	1	28	7	7	7/8	2	2	V	d	i		V		V							M	1	1	1, 5, 2		1	1
1	1	30	15/2	15/2	7/8	2	2	V(64)	d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
1	1	32	8	8	7/8	2	2	V[#viio43]	d	i	V	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
1	1	34	17/2	17/2	7/8	2	2	V(64)	d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
2	2	73/2	1/8	1/8	5/8	1	1	i6	d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	147/4	3/16	3/16	5/8	1	1	#viio6	d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	37	1/4	1/4	5/8	1	1	VI6	d	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
2	2	149/4	5/16	5/16	5/8	1	1	V6	d	i		V6		V		6					M	1	1	5, 2, 1		1	5
