mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0.5	0	7/8	4/4	2	1	a.V65{		a	i		V65	V		65				{	Mm7	1	1	5, 2, -1, 1		1	5
2	1	1/2	1.5	0	0	4/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	1	2	0.5	3/8	3/8	4/4	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
2	1	5/2	1.5	1/2	1/2	4/4	2	1	iv6	VI	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	1	4	0.5	7/8	7/8	4/4	2	1	V65/iv		a	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
3	2	9/2	3.0	0	0	4/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	2	15/2	1.0	3/4	3/4	4/4	2	1	#vii6		a	i		#vii6	#vii		6					m	1	1	2, 6, 5		5	2
4	3	17/2	0.75	0	0	4/4	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	37/4	0.25	3/16	3/16	4/4	2	1	#viio/iv		a	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4
4	3	19/2	1.75	1/4	1/4	4/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	3	45/4	0.25	11/16	11/16	4/4	2	1	viio/V		a	i		viio/V	vii	o			V			o	1	1	6, 3, 0		6	6
4	3	23/2	1.0	3/4	3/4	4/4	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	4	25/2	4.0	0	0	4/4	2	1	i|IAC}		a	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
5	4	31/2	0.0	3/4	3/4	4/4	2	1	{		a	i									{		1	1				
6	5	33/2	4.0	0	0	4/4	2	1	III.V7/V		a	III		V7/V	V		7		V			Mm7	1	0	2, 6, 3, 0		2	2
7	6	41/2	0.75	0	0	4/4	2	1	V(4)		a	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
7	6	85/4	2.25	3/16	3/16	4/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
7	6	47/2	1.0	3/4	3/4	4/4	2	1	v6		a	III		v6	v		6					m	1	0	-2, 2, 1		1	-2
