mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/8	2	1	g.i6{		g	i		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
1	1	1	0.5	1/4	1/4	3/8	2	1	#viio6	iio	g	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	3/2	0.5	0	0	3/8	2	1	i		g	i		i		i							m	1	1	0, -3, 1		0	0
2	2	2	1.0	1/8	1/8	3/8	2	3	V65		g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
3	3	3	0.375	0	0	3/8	2	1	i		g	i		i		i							m	1	1	0, -3, 1		0	0
3	3	27/8	0.125	3/32	3/32	3/8	2	1	i6		g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	7/2	0.5	1/8	1/8	3/8	2	1	iio6		g	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	4	0.5	1/4	1/4	3/8	2	1	V		g	i		V		V							M	1	1	1, 5, 2		1	1
4	4	9/2	1.5	0	0	3/8	2	1	VI		g	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
5	5	6	1.0	0	0	3/8	2	1	V65/iv		g	i		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
5	5	7	0.5	1/4	1/4	3/8	2	1	iv		g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	15/2	1.0	0	0	3/8	2	1	V64/iv		g	i		V64/iv		V		64		iv			M	1	1	1, 0, 4		0	1
6	6	17/2	0.5	1/4	1/4	3/8	2	3	iv6		g	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
7	7	9	1.5	0	0	3/8	2	1	Ger6		g	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
8	8	21/2	1.0	0	0	3/8	2	1	V(^4)}		g	i		V(^4)		V			^4			}	M	1	1	1, 5, 0		1	1
8	8	23/2	0.5	1/4	1/4	3/8	2	1	V|HC		g	i		V		V					HC		M	1	1	1, 5, 2		1	1
9	9	12	1.5	0	0	3/8	2	1	V/VI{		g	i		V/VI		V				VI		{	M	1	1	-3, 1, -2		-3	-3
10	10	27/2	1.0	0	0	3/8	2	1	V2/VI		g	i		V2/VI		V		2		VI			Mm7	1	1	-5, -3, 1, -2		-3	-5
10	10	29/2	2.0	1/4	1/4	3/8	2	1	VI6		g	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
12	12	33/2	0.5	0	0	3/8	2	1	V65/VI}		g	i		V65/VI		V		65		VI		}	Mm7	1	1	1, -2, -5, -3		-3	1
12	12	17	1.0	1/8	1/8	3/8	2	1	VI		g	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
13	13	18	1.5	0	0	3/8	2	1	V/VII{		g	i		V/VII		V				VII		{	M	1	1	-1, 3, 0		-1	-1
14	14	39/2	1.0	0	0	3/8	2	1	V2/VII		g	i		V2/VII		V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
14	14	41/2	2.0	1/4	1/4	3/8	2	1	VII6		g	i		VII6		VII		6					M	1	1	2, -1, -2		-2	2
16	16	45/2	0.5	0	0	3/8	2	1	V65/VII}		g	i		V65/VII		V		65		VII		}	Mm7	1	1	3, 0, -3, -1		-1	3
16	16	23	1.0	1/8	1/8	3/8	2	1	VII[VII{		g	i	VII	VII		VII						{	M	1	1	-2, 2, -1		-2	-2
17	17	24	1.5	0	0	3/8	2	1	viio64/VII		g	i	VII	viio64/VII		vii	o	64		VII			o	1	1	-3, 3, 0		3	-3
18	18	51/2	1.5	0	0	3/8	2	1	V7/III]		g	i	VII	V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
19	19	27	0.5	0	0	3/8	2	1	V(64)/ii		g	i		V(64)/ii		V			64	ii			M	1	1	3, 2, -1		3	3
19	19	55/2	1.0	1/8	1/8	3/8	2	1	V65/V/ii		g	i		V65/V/ii		V		65		V/ii			Mm7	1	1	8, 5, 2, 4		4	8
20	20	57/2	0.5	0	0	3/8	2	1	V/ii}{		g	i		V/ii		V				ii		}{	M	1	1	3, 7, 4		3	3
20	20	29	0.5	1/8	1/8	3/8	2	1	V2/ii		g	i		V2/ii		V		2		ii			Mm7	1	1	1, 3, 7, 4		3	1
20	20	59/2	0.5	1/4	1/4	3/8	2	1	i6/ii		g	i		i6/ii		i		6		ii			m	1	1	-1, 3, 2		2	-1
21	21	30	0.5	0	0	3/8	2	1	V43/ii		g	i		V43/ii		V		43		ii			Mm7	1	1	4, 1, 3, 7		3	4
21	21	61/2	0.5	1/8	1/8	3/8	2	1	ii		g	i		ii		ii							m	1	1	2, -1, 3		2	2
